,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Mood (feat. Iann Dior)",24kGoldn,6065515,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
2,"WAP (feat. Megan Thee Stallion)","Cardi B",5603667,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
3,Hawái,Maluma,4809247,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
4,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",4341923,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
5,Dynamite,BTS,4117542,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY
6,"Watermelon Sugar","Harry Styles",3630648,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
7,"Holy (feat. Chance The Rapper)","Justin Bieber",3615715,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
8,"Blinding Lights","The Weeknd",3614994,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
9,"Savage Love (Laxed - Siren Beat)","Jawsh 685",3324011,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
10,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",3304564,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
11,"Laugh Now Cry Later (feat. Lil Durk)",Drake,3201573,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
12,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,3132937,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
13,"Head & Heart (feat. MNEK)","Joel Corry",3008670,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
14,"FRANCHISE (feat. Young Thug & M.I.A.)","Travis Scott",2881840,https://open.spotify.com/track/4jVBIpuOiMj1crqd8LoCrJ
15,"Relación - Remix",Sech,2751165,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
16,"POPSTAR (feat. Drake)","DJ Khaled",2629164,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
17,"you broke me first","Tate McRae",2502366,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
18,"Roses - Imanbek Remix","SAINt JHN",2471325,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5
19,Heather,"Conan Gray",2405914,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
20,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",2309009,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
21,"Ay, DiOs Mío!","KAROL G",2291510,https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776
22,"Breaking Me",Topic,2276983,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
23,"La Curiosidad","Jay Wheeler",2272087,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
24,"Ice Cream (with Selena Gomez)",BLACKPINK,2111524,https://open.spotify.com/track/2J4P46vCFm1rPkNkp9pZWX
25,"Mood Swings (feat. Lil Tjay)","Pop Smoke",2101679,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
26,"Dance Monkey","Tones And I",2067821,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
27,"What You Know Bout Love","Pop Smoke",2043671,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
28,"Tattoo - Remix with Camilo","Rauw Alejandro",2030095,https://open.spotify.com/track/4ZRrLHqzhGRXYj2qcB4s5S
29,"La Jeepeta - Remix","Nio Garcia",1971488,https://open.spotify.com/track/6bvfJf4KjonPMuPfGfy3S2
30,"Someone You Loved","Lewis Capaldi",1924051,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
31,"Come & Go (with Marshmello)","Juice WRLD",1913422,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
32,"Take You Dancing","Jason Derulo",1900297,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
33,Caramelo,Ozuna,1857650,https://open.spotify.com/track/5Jm4w8jmPEBTLjI9vH4fXo
34,"La Tóxica",Farruko,1781643,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
35,"Midnight Sky","Miley Cyrus",1781264,https://open.spotify.com/track/27ycaQnQAxaPiyeg3nr2aB
36,"Before You Go","Lewis Capaldi",1756549,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
37,"Una Locura",Ozuna,1744189,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU
38,"death bed (coffee for your head)",Powfu,1733326,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
39,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Jack Harlow",1707846,https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC
40,"Put Your Records On","Ritt Momney",1665490,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
41,"my ex's best friend (with blackbear)","Machine Gun Kelly",1655045,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl
42,"Wishing Well","Juice WRLD",1645791,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
43,"Mi Cuarto","Jerry Di",1618560,https://open.spotify.com/track/6fmQjRuo7XvRFCK2qex5hQ
44,"Rain On Me (with Ariana Grande)","Lady Gaga",1616596,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
45,"Go Crazy","Chris Brown",1594082,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
46,"Me Gusta (with Cardi B & Myke Towers)",Anitta,1583634,https://open.spotify.com/track/7e1VoRlNumuEkXlITMHKLE
47,"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",Tainy,1582260,https://open.spotify.com/track/1pqnQ41XbfKjaFu6M0eGJp
48,Better,ZAYN,1576874,https://open.spotify.com/track/1dLXLETYiZohIZWnse4ypG
49,"Don't Start Now","Dua Lipa",1576554,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
50,Despeinada,Ozuna,1519618,https://open.spotify.com/track/0JAZWvvqttGFm4UMDsPQXC
51,"Blueberry Faygo","Lil Mosey",1511594,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
52,"Mad at Disney","salem ilese",1439823,https://open.spotify.com/track/7aGyRfJWtLqgJaZoG9lJhE
53,"Kings & Queens","Ava Max",1428276,https://open.spotify.com/track/1InCpEliLCkWHOBdXW7XSx
54,"Se Te Nota (with Guaynaa)","Lele Pons",1415391,https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu
55,"GREECE (feat. Drake)","DJ Khaled",1362001,https://open.spotify.com/track/35RJhm1pEovTBwnNR0zWad
56,"Vida de Rico",Camilo,1355969,https://open.spotify.com/track/73nAK3HgQK8dak83Y2WQ8F
57,"Djadja (feat. Maluma) - Remix","Aya Nakamura",1353154,https://open.spotify.com/track/13vDU8nPsvTGEVTMB8Vw7g
58,"ily (i love you baby) (feat. Emilee)","Surf Mesa",1352721,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
59,"Stuck with U (with Justin Bieber)","Ariana Grande",1350673,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
60,"forget me too (feat. Halsey)","Machine Gun Kelly",1342687,https://open.spotify.com/track/1VSuFS7PahCN3SWbOcQ98m
61,"Break My Heart","Dua Lipa",1328707,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
62,Circles,"Post Malone",1323424,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
63,Diamonds,"Sam Smith",1323021,https://open.spotify.com/track/5hvwx5i67IwnCkjl9VHkNv
64,"How You Like That",BLACKPINK,1320249,https://open.spotify.com/track/3vAn0qZzdyuHamcrpkfiX3
65,goosebumps,"Travis Scott",1318378,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
66,"The Woo (feat. 50 Cent & Roddy Ricch)","Pop Smoke",1282349,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn
67,"Toosie Slide",Drake,1276437,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
68,"The Box","Roddy Ricch",1273084,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
69,"Adore You","Harry Styles",1252477,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
70,Señorita,"Shawn Mendes",1232912,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
71,Memories,"Maroon 5",1227546,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
72,"Gimme Love",Joji,1214668,https://open.spotify.com/track/5jSBnH9NyaNP5zdSB3pwgu
73,"Smile (with The Weeknd)","Juice WRLD",1212952,https://open.spotify.com/track/6wQlQrTY5mVS8EGaFZVwVF
74,"Lean (feat. Towy, Osquel, Beltito & Sammy & Falsetto)","Super Yei",1209374,https://open.spotify.com/track/5DoLhdU27owX1NMrKLUbUl
75,"Your Man",Joji,1201637,https://open.spotify.com/track/6Vgtvd7I5yopJdBuxqjBd2
76,Jeans,"Justin Quiles",1195896,https://open.spotify.com/track/3GtnId3Cm1Xa6joCj08nzW
77,"Lucid Dreams","Juice WRLD",1189825,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
78,Ew,Joji,1188547,https://open.spotify.com/track/3Nc86B5XmDlG1KuEeSLD8x
79,Tusa,"KAROL G",1179840,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
80,"Intentions (feat. Quavo)","Justin Bieber",1179373,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
81,"Party Girl",StaySolidRocky,1168226,https://open.spotify.com/track/3IJYUaN3tx04S4TYyZHKoP
82,"HIGHEST IN THE ROOM","Travis Scott",1162937,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
83,"Jerusalema (feat. Nomcebo Zikode)","Master KG",1155653,https://open.spotify.com/track/2MlOUXmcofMackX3bxfSwi
84,Robbery,"Juice WRLD",1148390,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
85,MAMACITA,"Black Eyed Peas",1148204,https://open.spotify.com/track/24IgCW19L8lXKyFZwzFtD3
86,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1133367,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
87,"Ayer Me Llamó Mi Ex (feat. Lenny Santos)",KHEA,1130459,https://open.spotify.com/track/6C6mUonH6MNdSg5pw7kOc9
88,Falling,"Trevor Daniel",1130132,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
89,"SICKO MODE","Travis Scott",1128308,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
90,"Still Don't Know My Name",Labrinth,1122692,https://open.spotify.com/track/6N22FZs2ZhPBYi3b9XPajV
91,"Mamichula - con Nicki Nicole",Trueno,1110725,https://open.spotify.com/track/4pXW6ZAHBz7ODXTRKklWrM
92,Daylight,Joji,1105418,https://open.spotify.com/track/6Ed1q0X8oSKSm4IIhiQbYg
93,Shallow,"Lady Gaga",1093692,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
94,"bad guy","Billie Eilish",1089222,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
95,Relación,Sech,1076165,https://open.spotify.com/track/3ZG8N7aWw2meb6UrI5ZmnZ
96,Dior,"Pop Smoke",1054907,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
97,"Oh Juliana",Niack,1049058,https://open.spotify.com/track/4xWzZmX4K1yyrdtRfbUvjt
98,"Electric Love",BØRNS,1048282,https://open.spotify.com/track/2GiJYvgVaD2HtM8GqD9EgQ
99,"Caramelo - Remix",Ozuna,1031794,https://open.spotify.com/track/67jvGGbJmOmVonlyX3mNkV
100,"You Got It",Vedo,1031368,https://open.spotify.com/track/4lsHZ92XCFOQfzJFBTluk8
101,"Wolves (feat. Post Malone)","Big Sean",1029777,https://open.spotify.com/track/33gwZOGJWEZ7dRWPqPxBEZ
102,MODUS,Joji,1026392,https://open.spotify.com/track/5BibcbKVdZUuTttSG02JTp
103,Epidemic,"Polo G",1026095,https://open.spotify.com/track/170DNUSnQRp1tGpppF26pA
104,"Hasta Que Dios Diga","Anuel AA",1025460,https://open.spotify.com/track/06s3QtMJVXw1AJX3UfvZG1
105,"Bande organisée",Jul,1020766,https://open.spotify.com/track/205HNJ73cgpC0LAOnuQiWT
106,"Don Don","Daddy Yankee",1013749,https://open.spotify.com/track/3kml9ZdpT7UYk1ugkjqOzt
107,Favorito,Camilo,1012159,https://open.spotify.com/track/0jT8Nl0shPS8115is0wD2Q
108,"Ride It",Regard,1005652,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
109,"Parce (feat. Justin Quiles)",Maluma,1002505,https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ
110,"lovely (with Khalid)","Billie Eilish",1001627,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
111,ROXANNE,"Arizona Zervas",996522,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
112,"Tick Tock (feat. 24kGoldn)","Clean Bandit",996337,https://open.spotify.com/track/27u7t9d7ZQoyjsCROHuZJ3
113,"Life Is Good (feat. Drake)",Future,990204,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
114,Azul,"J Balvin",986880,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1
115,"In Your Eyes","The Weeknd",984348,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
116,Believer,"Imagine Dragons",977057,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
117,"Investe Em Mim","Jonas Esticado",965976,https://open.spotify.com/track/15k1TDabqSEmyXOwMq9RM7
118,"Stunnin' (feat. Harm Franklin)","Curtis Waters",945569,https://open.spotify.com/track/2D0dj3hVkRQJCp63cxCPEx
119,"bloody valentine","Machine Gun Kelly",933207,https://open.spotify.com/track/6mADjHs6FXdroPzEGW6KVJ
120,"Say So","Doja Cat",932863,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
121,"THE SCOTTS","THE SCOTTS",924240,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
122,"TKN (feat. Travis Scott)",ROSALÍA,920872,https://open.spotify.com/track/4w47S36wQGBhGg073q3nt7
123,Madrid,Maluma,919195,https://open.spotify.com/track/19OXtYzrJyCrQvTbfukt4H
124,"Dreams - 2004 Remaster","Fleetwood Mac",918703,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
125,"Tick Tock",Joji,914251,https://open.spotify.com/track/2Imn5iTu2xD3gXCqpBqubu
126,Sanctuary,Joji,905994,https://open.spotify.com/track/5F1ZmucV0uJY14y2dYKePa
127,"Be Like That - feat. Swae Lee & Khalid","Kane Brown",903857,https://open.spotify.com/track/5f1joOtoMeyppIcJGZQvqJ
128,"OK Not To Be OK",Marshmello,902229,https://open.spotify.com/track/0zzVTGyRrWpQu8Fr28NRAv
129,"If the World Was Ending - feat. Julia Michaels","JP Saxe",901482,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
130,Run,Joji,900110,https://open.spotify.com/track/1zmgEIHE0eXH0IhBGuoTkP
131,"Be Kind (with Halsey)",Marshmello,897399,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
132,Falling,"Harry Styles",895714,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
133,"Recairei - Ao Vivo","Os Barões Da Pisadinha",893293,https://open.spotify.com/track/71FrGl0XcpL3VId65tB5mg
134,"Yo Perreo Sola","Bad Bunny",882973,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
135,Daisy,Ashnikko,877509,https://open.spotify.com/track/0AUvWawuP0ibk4SQ3sIZjk
136,"Hello (feat. A Boogie Wit da Hoodie)","Pop Smoke",874615,https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi
137,Safaera,"Bad Bunny",874202,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
138,"Got It On Me","Pop Smoke",870713,https://open.spotify.com/track/25zlnOAzbVoOzIeXSvQFf1
139,"I Don't Care (with Justin Bieber)","Ed Sheeran",868204,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
140,"Sunday Best",Surfaces,862232,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
141,"Pretty Boy (feat. Lil Yachty)",Joji,858919,https://open.spotify.com/track/0f1G5SHFoFC9lO03gHCGVS
142,"Martin & Gina","Polo G",858721,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
143,"Lets Link",WhoHeem,856650,https://open.spotify.com/track/6fMzgFFGzWCwiHMzDzNpp5
144,Supalonely,BENEE,856330,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
145,"Bohemian Rhapsody - 2011 Mix",Queen,854443,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
146,cardigan,"Taylor Swift",849909,https://open.spotify.com/track/4R2kfaDFhslZEMJqAFNpdd
147,"everything i wanted","Billie Eilish",849273,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
148,"PORFA Remix ( Feat. Maluma, Nicky Jam, Sech) - Remix",Feid,847154,https://open.spotify.com/track/7lUdbnz7wsv3C9zzf4WHl9
149,"After Party","Don Toliver",845885,https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da
150,"Quiéreme Mientras Se Pueda","Manuel Turizo",840239,https://open.spotify.com/track/34LI7rwi9H8w2S5KTHnv1M
151,"Jocelyn Flores",XXXTENTACION,832475,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
152,"Shape of You","Ed Sheeran",832468,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
153,"Elegí (feat. Dímelo Flow)","Rauw Alejandro",831732,https://open.spotify.com/track/50ZC4PM7hywH27RcCfViau
154,Afterthought,Joji,828661,https://open.spotify.com/track/1ggYjU6zdFHgANcku82boU
155,"El Mismo Aire - con Pablo Alborán",Camilo,826315,https://open.spotify.com/track/5EbtodsuLbxrFDH6j5avVS
156,Perfect,"Ed Sheeran",825565,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
157,"Say You Won't Let Go","James Arthur",822507,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
158,"7 rings","Ariana Grande",817784,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
159,Rojo,"J Balvin",813962,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
160,"All Girls Are The Same","Juice WRLD",810164,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
161,"Tap In",Saweetie,809264,https://open.spotify.com/track/4Hpib09wXgD84w4uwTPnYD
162,"Godzilla (feat. Juice WRLD)",Eminem,804383,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
163,"Head Shoulders Knees & Toes (feat. Norma Jean Martine)",Ofenbach,803619,https://open.spotify.com/track/6i7zAdNhzUN2k1HcrBxPHG
164,"Play Date","Melanie Martinez",801740,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
165,SAD!,XXXTENTACION,786435,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
166,"rockstar (feat. 21 Savage)","Post Malone",786180,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
167,"hot girl bummer",blackbear,783732,https://open.spotify.com/track/2mt1IqcFyY1zmYZT8Q3xw9
168,"feel something","Bea Miller",783566,https://open.spotify.com/track/7JDWhC422Gtk1Bq0mL3OTC
169,+Linda,Dalex,779483,https://open.spotify.com/track/5cBrOhKDyiJF9bPGUHKkG0
170,"Someone To You",BANNERS,777716,https://open.spotify.com/track/2f0pn9DkEJwAzXApnFh5cr
171,"my future","Billie Eilish",773648,https://open.spotify.com/track/2ygvZOXrIeVL4xZmAWJT2C
172,"Beautiful People (feat. Khalid)","Ed Sheeran",756985,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
173,"24 (feat. Lil Baby)","Money Man",755204,https://open.spotify.com/track/0xUvi7wldroBzaZCengPa5
174,"CÓMO SE SIENTE - Remix","Jhay Cortez",754213,https://open.spotify.com/track/2tFwfmceQa1Y6nRPhYbEtC
175,"Lose Control",MEDUZA,754009,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
176,"drunk face","Machine Gun Kelly",751678,https://open.spotify.com/track/3k0YJnqMKRZb8swo86vCkq
177,Upgrade,Joji,749514,https://open.spotify.com/track/1FQpGAJiQgVd65IIBYkRVP
178,"Over Now (with The Weeknd)","Calvin Harris",747799,https://open.spotify.com/track/58AGoOGbwsQMhBbH0eFLRR
179,"Like You Do",Joji,746995,https://open.spotify.com/track/3xo4Q43ei0ypZOvd2W1IqZ
180,"Sweater Weather","The Neighbourhood",746842,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
181,NITROUS,Joji,746723,https://open.spotify.com/track/2iES5ck2jsznpywJWMMzWR
182,"All of Me","John Legend",746446,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
183,"Tak Tiki Tak","Harry Nach",733284,https://open.spotify.com/track/7gwwt1IaAWwmB7af0AcuBM
184,"DOLLAZ ON MY HEAD (feat. Young Thug)",Gunna,729499,https://open.spotify.com/track/3nS9a01VvXHQriLqJYwRqG
185,"Lose Somebody",Kygo,729458,https://open.spotify.com/track/1sgDyuLooyvEML4oHspNza
186,Happier,Marshmello,728472,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
187,"Are You Bored Yet? (feat. Clairo)",Wallows,727392,https://open.spotify.com/track/57RA3JGafJm5zRtKJiKPIm
188,"Quero Você do Jeito Que Quiser","Marília Mendonça",720741,https://open.spotify.com/track/64I6t2tuUGnIlaDIzHJ6YI
189,Secrets,Regard,719451,https://open.spotify.com/track/66W1rVTnEv86dIkFhoiElg
190,"No Guidance (feat. Drake)","Chris Brown",717054,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
191,"Desce Pro Play (PA PA PA)","Mc Zaac",716540,https://open.spotify.com/track/4zGtfOglDBfVUypabBwIjQ
192,"High Hopes (feat. Omar Apollo)",Joji,714039,https://open.spotify.com/track/5dl8x4xLEzZC0f927WBTUG
193,"Hate The Other Side (with Marshmello & The Kid Laroi)","Juice WRLD",713494,https://open.spotify.com/track/0ada5XsQGLPUVbmTCkAP49
194,"WHATS POPPIN","Jack Harlow",711306,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
195,"Comprei um Lança","Mc Jacare",710110,https://open.spotify.com/track/12v6LfkX9YIR3uLefIAAYZ
196,"Normal People (feat. rei brown)",Joji,709146,https://open.spotify.com/track/0QDBNUrc51sGxzmMTvH5kF
197,September,"Earth, Wind & Fire",708817,https://open.spotify.com/track/4f2GB5ZC7vOUYPAg69N2Xw
198,"Without Me",Halsey,705677,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
199,"So Voce","MC Rogerinho",705139,https://open.spotify.com/track/59kRq8rb5uJCrSYYbGCk7o
200,"Sogra - Ao Vivo",Dilsinho,705043,https://open.spotify.com/track/4zsiMjB0794HztyqUkD3Zi
